servicio,paradero,tiempo_promedio,geo_parader,geo_parader_lat,geo_parader_lon,calificacion,zona_h,zona_h_num,seccion
104I,PF1,103.44491525423729,0101000020E610000068BE2FF99FA351C0C3ECC738E1C740C0,-33.5615607238956,-70.5566390005348,2,Bajo,3,S1
104I,PF2,447.62264150943395,0101000020E61000005D7A66118AA351C0C44424FF2FC840C0,-33.5639647414296,-70.5553020001184,2,Bajo,3,S1
104I,PF3,473.8679245283019,0101000020E61000007800FD3383A351C03F86F5CCD9C840C0,-33.5691467474794,-70.5548830004426,2,Bajo,3,S1
104I,PF4,510.4583333333333,0101000020E61000009AB56F7B82A351C0D0855EB579C940C0,-33.5740267478501,-70.5548389998352,2,Bajo,3,S1
104I,PC22,220.3673469387755,0101000020E6100000E49234D3BDA651C00FDCA83332B640C0,-33.4234070372114,-70.6053359998146,2,Bajo,3,S2
104I,PC23,203.94444444444446,0101000020E6100000C6894598A2A651C0CCAC5316A5B640C0,-33.4269130619592,-70.603673999699,2,Bajo,3,S2
104I,PC24,207.98181818181817,0101000020E6100000D1316F0B96A651C0C2AA8E0803B740C0,-33.4297800728432,-70.6029079995999,2,Bajo,3,S2
104I,PC25,215.26415094339623,0101000020E610000064D39B8F81A651C072C0B4D499B740C0,-33.4343820459916,-70.6016577741371,2,Bajo,3,S2
104I,PC26,205.52830188679246,0101000020E6100000707CBA4A77A651C0562B2D50E6B740C0,-33.4367161007455,-70.6010310002473,2,Bajo,3,S2
104I,PC27,240.1818181818182,0101000020E610000048F6748F6CA651C0FEC1E9F434B840C0,-33.4391161099811,-70.6003759996612,2,Bajo,3,S2
104I,PC28,200.94642857142858,0101000020E61000007830616F62A651C04BDFE9397EB840C0,-33.4413521186785,-70.5997580002894,2,Bajo,3,S2
104I,PC37,196.22033898305085,0101000020E6100000D944B8CCE9A651C058F4370AD7B540C0,-33.4206249974456,-70.6080200004102,2,Bajo,3,S2
104I,PD107,180.17460317460316,0101000020E61000002463558847A651C095AC94F647BA40C0,-33.4553211427639,-70.5981160005436,2,Bajo,3,S2
104I,PD1417,213.38888888888889,0101000020E61000007A958EE301A651C072FB8B8F58C040C0,-33.5027026589877,-70.5938652889653,2,Bajo,3,S2
104I,PD1449,171.9090909090909,0101000020E61000004EC5A7E460A651C01800C61B63BE40C0,-33.4873995510863,-70.5996638906847,2,Bajo,3,S2
104I,PD53,195.2280701754386,0101000020E6100000DA67F1ED58A651C02A3129C806B940C0,-33.4455194665082,-70.5991778237798,2,Bajo,3,S2
104I,PD54,199.31578947368422,0101000020E6100000C5B52D074BA651C0498508197DB940C0,-33.4491301814656,-70.5983293482196,2,Bajo,3,S2
104I,PD56,212.0943396226415,0101000020E6100000B0AAD0B649A651C0FD74F768C6B940C0,-33.451367493466,-70.5982491529237,2,Bajo,3,S2
104I,PD57,195.12727272727273,0101000020E6100000CE81BAE74EA651C06A6AA3A804BA40C0,-33.4532671735695,-70.5985659905775,2,Bajo,3,S2
104I,PD58,173.09230769230768,0101000020E610000085206D4D47A651C08E070A6CBFBA40C0,-33.4589667366955,-70.5981019559568,2,Bajo,3,S2
104I,PD59,241.3913043478261,0101000020E610000028F3774E49A651C07619F0CB14BB40C0,-33.4615721628533,-70.5982242747674,2,Bajo,3,S2
104I,PD60,228.66,0101000020E6100000C315DB334BA651C01D5FD10459BB40C0,-33.4636541387865,-70.5983400001051,2,Bajo,3,S2
104I,PD61,185.58620689655172,0101000020E61000005E7086DF4DA651C05261A8DEB0BB40C0,-33.4663351366204,-70.5985029995804,2,Bajo,3,S2
104I,PD62,249.62790697674419,0101000020E6100000515B9EE74FA651C0380842D204BC40C0,-33.4688971350119,-70.5986269995167,2,Bajo,3,S2
104I,PD63,215.86274509803923,0101000020E610000097EBE9CD51A651C05AD954D842BC40C0,-33.4707899488737,-70.5987429413202,2,Bajo,3,S2
104I,PD64,187.80701754385964,0101000020E61000008000E5B853A651C0963CA7749BBC40C0,-33.4734941307626,-70.598860000262,2,Bajo,3,S2
104I,PD65,192.69642857142858,0101000020E6100000A9B6340456A651C045A92A3CF6BC40C0,-33.4762644966418,-70.5990000262051,2,Bajo,3,S2
104I,PD66,180.04918032786884,0101000020E61000002BB4368E58A651C06CED497750BD40C0,-33.4790181265806,-70.5991550001351,2,Bajo,3,S2
104I,PD67,171.890625,0101000020E6100000EC8D29FF5AA651C03AF7B68EB1BD40C0,-33.4819811242473,-70.5993039995007,2,Bajo,3,S2
104I,PD68,160.64788732394365,0101000020E6100000E8EEA6AE5DA651C074FC62FA14BE40C0,-33.4850151999789,-70.5994679098327,2,Bajo,3,S2
104I,PD69,176.109375,0101000020E6100000563B104962A651C09AB04772B4BE40C0,-33.4898817873047,-70.5997488649858,2,Bajo,3,S2
