servicio,paradero,tiempo_promedio,geo_parader,geo_parader_lat,geo_parader_lon,calificacion,zona_h,zona_h_num,seccion
510I,PA164,422.1875,0101000020E61000006401A98EACAA51C03E0C146653B940C0,-33.4478576276674,-70.6667820597118,2,Punta,1,S1
510I,PA233,456.42857142857144,0101000020E6100000A79B1B7B40AA51C0CF1F23C271B940C0,-33.4487841292863,-70.6601856011972,2,Punta,1,S1
510I,PA335,383.1764705882353,0101000020E6100000B313C63905AB51C05B893C7A82B940C0,-33.4492943568791,-70.6721939501138,2,Punta,1,S1
510I,PA337,375.88235294117646,0101000020E6100000A77C7C4E5DAA51C052BF05C833B940C0,-33.4468927410186,-70.6619449821179,2,Punta,1,S1
510I,PA35,501.46153846153845,0101000020E61000002E9658E02BAA51C08B8FFDCA00BA40C0,-33.4531491983499,-70.6589279999832,2,Punta,1,S1
510I,PA36,1011.8,0101000020E61000005AF31BEE23AA51C0E00F9AE035BA40C0,-33.4547692062622,-70.6584430001216,0,Punta,1,S1
510I,PA368,367.29411764705884,0101000020E61000003FD051F355AB51C052AD0CF2ADB940C0,-33.4506208955669,-70.6771210001907,2,Punta,1,S1
510I,PA435,405.0,0101000020E61000002F78EEC209AA51C0A78B1D22F6BA40C0,-33.4606363910928,-70.6568457917026,2,Punta,1,S1
510I,PA436,403.125,0101000020E6100000AE2CFC55B7A951C009842366E2BA40C0,-33.4600341485421,-70.6518149340288,2,Punta,1,S1
510I,PA438,390.2352941176471,0101000020E6100000C5820DE54DA951C04E28BC01BFBA40C0,-33.4589540642488,-70.6453793174688,2,Punta,1,S1
510I,PA439,419.3529411764706,0101000020E61000006A1C5FA12FA951C080E244D2B1BA40C0,-33.4585516773559,-70.643532126314,2,Punta,1,S1
510I,PA440,420.6875,0101000020E6100000AF2B07CFEFA851C032417FFB96BA40C0,-33.457732617508,-70.6396367616678,2,Punta,1,S1
510I,PA442,466.2857142857143,0101000020E610000080209DC38AA851C058E264216CBA40C0,-33.4564248793219,-70.6334694895213,2,Punta,1,S1
510I,PA469,515.3076923076923,0101000020E61000001081384C34AA51C0541C44AE6DBA40C0,-33.4564721901485,-70.6594420005606,2,Punta,1,S1
510I,PA658,437.73333333333335,0101000020E6100000699C9EEA90A951C0B55579B0D9BA40C0,-33.459768351789,-70.6494700001655,2,Punta,1,S1
510I,PA666,442.73333333333335,0101000020E6100000112EEFA7C6A851C03387F43386BA40C0,-33.4572205490098,-70.6371249995939,2,Punta,1,S1
510I,PD115,393.125,0101000020E610000045AF0C3CF7A651C0968B0D2427BB40C0,-33.4621319833888,-70.608840000522,2,Punta,1,S1
510I,PD116,500.0,0101000020E6100000B93679909EA651C01DF7995D50BB40C0,-33.4633900644096,-70.603427999852,2,Punta,1,S1
510I,PD1365,588.6363636363636,0101000020E610000087D9537078A351C03C39AB5558BC40C0,-33.4714457593968,-70.554225999722,2,Punta,1,S1
510I,PD1366,856.1428571428571,0101000020E61000001EEF58A7CAA351C0AA0E8CC02ABC40C0,-33.4700546916841,-70.5592440002915,0,Punta,1,S1
510I,PD1367,781.7142857142857,0101000020E6100000D00E65389EA351C0CF6496B043BC40C0,-33.4708157286019,-70.5565320002454,0,Punta,1,S1
510I,PD1371,607.5555555555555,0101000020E6100000A0EB5F3E59A351C09738B32C1ABC40C0,-33.4695487856963,-70.552322000191,0,Punta,1,S1
510I,PD394,553.2,0101000020E610000059DECEAC6BA351C0EB4FD1E147BC40C0,-33.4709436676056,-70.5534469623757,2,Punta,1,S1
510I,PD486,912.0,0101000020E6100000A7319D2FF6A351C0CCA2BB1218BC40C0,-33.469484655017,-70.561901000509,0,Punta,1,S1
510I,PD487,,0101000020E610000045EABDD9E6A351C0816DC658CCBB40C0,-33.4671736687551,-70.5609649996414,0,Punta,1,S1
510I,PD488,,0101000020E6100000FE6D34F5BAA351C040CFCEF5DEBB40C0,-33.4677417049229,-70.5582860004433,0,Punta,1,S1
510I,PD489,,0101000020E610000009253F1D8FA351C0CB673BEEF7BB40C0,-33.4685037412706,-70.5556100002906,0,Punta,1,S1
510I,PD490,813.75,0101000020E610000026B9ADD15EA351C048A9227117BC40C0,-33.469465391087,-70.5526622959629,0,Punta,1,S1
510I,PD491,549.4166666666666,0101000020E6100000560CA9DC44A351C0B967D07223BC40C0,-33.4698318021396,-70.5510780001508,2,Punta,1,S1
