servicio,paradero,promedio_bus_hora,geo_parader,geo_parader_lat,geo_parader_lon,calificacion
510I,PA164,6.333333333333333,0101000020E61000006401A98EACAA51C03E0C146653B940C0,-33.4478576276674,-70.6667820597118,1
510I,PA233,5.458333333333333,0101000020E6100000A79B1B7B40AA51C0CF1F23C271B940C0,-33.4487841292863,-70.6601856011972,2
510I,PA335,6.166666666666667,0101000020E6100000B313C63905AB51C05B893C7A82B940C0,-33.4492943568791,-70.6721939501138,1
510I,PA337,6.875,0101000020E6100000A77C7C4E5DAA51C052BF05C833B940C0,-33.4468927410186,-70.6619449821179,1
510I,PA35,5.416666666666667,0101000020E61000002E9658E02BAA51C08B8FFDCA00BA40C0,-33.4531491983499,-70.6589279999832,2
510I,PA36,2.7083333333333335,0101000020E61000005AF31BEE23AA51C0E00F9AE035BA40C0,-33.4547692062622,-70.6584430001216,0
510I,PA368,6.791666666666667,0101000020E61000003FD051F355AB51C052AD0CF2ADB940C0,-33.4506208955669,-70.6771210001907,1
510I,PA435,6.875,0101000020E61000002F78EEC209AA51C0A78B1D22F6BA40C0,-33.4606363910928,-70.6568457917026,1
510I,PA436,6.416666666666667,0101000020E6100000AE2CFC55B7A951C009842366E2BA40C0,-33.4600341485421,-70.6518149340288,1
510I,PA438,6.333333333333333,0101000020E6100000C5820DE54DA951C04E28BC01BFBA40C0,-33.4589540642488,-70.6453793174688,1
510I,PA439,6.333333333333333,0101000020E61000006A1C5FA12FA951C080E244D2B1BA40C0,-33.4585516773559,-70.643532126314,1
510I,PA440,6.583333333333333,0101000020E6100000AF2B07CFEFA851C032417FFB96BA40C0,-33.457732617508,-70.6396367616678,1
510I,PA442,6.583333333333333,0101000020E610000080209DC38AA851C058E264216CBA40C0,-33.4564248793219,-70.6334694895213,1
510I,PA469,6.333333333333333,0101000020E61000001081384C34AA51C0541C44AE6DBA40C0,-33.4564721901485,-70.6594420005606,1
510I,PA658,6.583333333333333,0101000020E6100000699C9EEA90A951C0B55579B0D9BA40C0,-33.459768351789,-70.6494700001655,1
510I,PA666,6.333333333333333,0101000020E6100000112EEFA7C6A851C03387F43386BA40C0,-33.4572205490098,-70.6371249995939,1
510I,PD115,6.75,0101000020E610000045AF0C3CF7A651C0968B0D2427BB40C0,-33.4621319833888,-70.608840000522,1
510I,PD116,6.291666666666667,0101000020E6100000B93679909EA651C01DF7995D50BB40C0,-33.4633900644096,-70.603427999852,1
510I,PD1365,3.2916666666666665,0101000020E610000087D9537078A351C03C39AB5558BC40C0,-33.4714457593968,-70.554225999722,0
510I,PD1366,1.375,0101000020E61000001EEF58A7CAA351C0AA0E8CC02ABC40C0,-33.4700546916841,-70.5592440002915,0
510I,PD1367,1.3333333333333333,0101000020E6100000D00E65389EA351C0CF6496B043BC40C0,-33.4708157286019,-70.5565320002454,0
510I,PD1371,4.375,0101000020E6100000A0EB5F3E59A351C09738B32C1ABC40C0,-33.4695487856963,-70.552322000191,0
510I,PD394,1.9166666666666667,0101000020E610000059DECEAC6BA351C0EB4FD1E147BC40C0,-33.4709436676056,-70.5534469623757,0
510I,PD486,3.2083333333333335,0101000020E6100000A7319D2FF6A351C0CCA2BB1218BC40C0,-33.469484655017,-70.561901000509,0
510I,PD487,3.125,0101000020E610000045EABDD9E6A351C0816DC658CCBB40C0,-33.4671736687551,-70.5609649996414,0
510I,PD488,2.7083333333333335,0101000020E6100000FE6D34F5BAA351C040CFCEF5DEBB40C0,-33.4677417049229,-70.5582860004433,0
510I,PD489,2.7916666666666665,0101000020E610000009253F1D8FA351C0CB673BEEF7BB40C0,-33.4685037412706,-70.5556100002906,0
510I,PD490,4.25,0101000020E610000026B9ADD15EA351C048A9227117BC40C0,-33.469465391087,-70.5526622959629,0
510I,PD491,5.25,0101000020E6100000560CA9DC44A351C0B967D07223BC40C0,-33.4698318021396,-70.5510780001508,2
510I,PD492,5.25,0101000020E6100000803159880BA351C0A818B2313ABC40C0,-33.470525943719,-70.5475788947133,2
510I,PD493,5.25,0101000020E6100000C30DD200DEA251C0655944004DBC40C0,-33.4710998853432,-70.5448000003153,2
510I,PD494,5.791666666666667,0101000020E6100000B60713F3ACA251C0F48F351F61BC40C0,-33.471713925508,-70.5418060003129,2
510I,PD495,5.333333333333333,0101000020E6100000B80E1EA67DA251C037516CD573BC40C0,-33.4722849635022,-70.5389190000086,2
510I,PD496,5.208333333333333,0101000020E61000007585F7A754A251C0F6A9ACD782BC40C0,-33.4727429955564,-70.5364169995499,2
510I,PD497,8.583333333333334,0101000020E6100000D412DD5A26A251C0FE6FC4E195BC40C0,-33.4733240327041,-70.5335909995004,1
510I,PD498,5.708333333333333,0101000020E610000091506CEC12A251C014F024BB2ABC40C0,-33.4700540476189,-70.5324050004731,2
510I,PD499,6.833333333333333,0101000020E61000009D3EF52C08A251C0EE54AFE7E0BB40C0,-33.4678010564911,-70.5317490000693,1
510I,PD524,6.791666666666667,0101000020E61000003C82751C3FA851C0AD9B420B4CBA40C0,-33.4554456782565,-70.6288520000025,1
510I,PD535,6.541666666666667,0101000020E6100000E01EDAA7E3A451C05BE1E5DF0FBC40C0,-33.4692344543898,-70.5763949995121,1
510I,PD571,5.791666666666667,0101000020E61000001E86E4A36FA451C07C4832663EBC40C0,-33.4706542726062,-70.5693139774016,2
510I,PD589,6.166666666666667,0101000020E6100000C564CEDC41A751C015664E3B1EBB40C0,-33.4618600971991,-70.6133949294627,1
510I,PD590,6.791666666666667,0101000020E6100000CB1C958E35A651C033DDF4557BBB40C0,-33.4647014089227,-70.5970188575913,1
510I,PD592,6.125,0101000020E610000001059EB7B1A551C06AA8F07A95BB40C0,-33.465499274739,-70.5889720004234,1
510I,PD643,6.0,0101000020E61000006D54ACFAE6A751C0B886D0B8B9BA40C0,-33.458792783565,-70.6234728510769,2
510I,PD644,5.875,0101000020E6100000F90CCC9996A751C0182B4CB311BB40C0,-33.4614776727596,-70.6185669415171,2
510I,PD645,6.25,0101000020E610000028BC7D5A45A551C0814710A2CABB40C0,-33.4671213702668,-70.5823580005532,1
510I,PI1042,6.208333333333333,0101000020E610000030F833A31FAD51C093AEAEAB8BBA40C0,-33.4573874094905,-70.7050560004725,1
510I,PI1272,5.583333333333333,0101000020E6100000062AC9E2FEA351C00F605B8E43BC40C0,-33.4708116480034,-70.5624319996351,2
510I,PI212,8.208333333333334,0101000020E610000066B57C98BDB051C0571209EE1BBC40C0,-33.4696023506446,-70.7615720002992,1
510I,PI241,4.666666666666667,0101000020E610000007B731EBC5B051C0C34E2916B6BB40C0,-33.4664943410585,-70.762080000448,0
510I,PI242,5.666666666666667,0101000020E6100000FD640B28D4B051C09E86BA2F5DBB40C0,-33.4637813244601,-70.7629490004801,2
510I,PI243,4.625,0101000020E61000003270996379B051C0C15DD9D684BB40C0,-33.4649914323195,-70.7574090002461,0
510I,PI244,3.7083333333333335,0101000020E6100000A339DF1456B051C010086C0392BB40C0,-33.4653934743402,-70.7552539997037,0
510I,PI339,6.166666666666667,0101000020E6100000B8A81F868AAC51C03D02E98445BA40C0,-33.45524655702,-70.6959548291369,1
510I,PI342,6.125,0101000020E61000006B59689E95AB51C077688457D4B940C0,-33.451792659428,-70.6810070055996,1
510I,PI401,6.833333333333333,0101000020E6100000357AB05241AC51C09EBAF84F23BA40C0,-33.4542026485917,-70.6914869998371,1
510I,PI439,6.625,0101000020E6100000A3916D4C06AC51C0A5ADE50209BA40C0,-33.453400003574,-70.6878844327935,1
510I,PI457,6.375,0101000020E61000009110E4BED5AC51C0507D43D768BA40C0,-33.4563244895495,-70.7005460002131,1
510I,PI739,5.041666666666667,0101000020E6100000CA2A015130B051C044FD2A124DBB40C0,-33.4632895193013,-70.7529490004919,2
510I,PI740,4.333333333333333,0101000020E61000000BC4120F28B051C0521198FD11BB40C0,-33.4614865295904,-70.7524450000057,0
510I,PI748,5.75,0101000020E610000087366E0A43AF51C0D7602ED24DBA40C0,-33.455499909063,-70.7384668422984,2
510I,PI749,6.916666666666667,0101000020E61000003963AA7D3AAF51C04FB7E431F8B940C0,-33.4528868071344,-70.7379450000707,1
510I,PI750,5.125,0101000020E610000027D8C85C19AF51C09216FEE804BA40C0,-33.4532748451867,-70.7359230004664,2
510I,PI751,5.625,0101000020E6100000890837A2ECAE51C0155FA5F815BA40C0,-33.4537955100515,-70.7331929719386,2
510I,PI752,6.125,0101000020E6100000BD5B0F96B1AE51C0C3D9D9222EBA40C0,-33.4545329631542,-70.7295889997467,1
510I,PI753,4.583333333333333,0101000020E6100000578FBA9F19AE51C03F02E8C767BA40C0,-33.456292141233,-70.7203139612078,0
510I,PI754,5.0,0101000020E61000003CA6F564FEAD51C06C7FC63B74BA40C0,-33.4566721648433,-70.7186520003242,2
510I,PJ1683,5.625,0101000020E6100000D011B4CC22B051C074C97520EDBA40C0,-33.4603615355617,-70.7521240004055,2
510I,PJ1684,5.708333333333333,0101000020E61000006FF266CA37B051C0D30905AF82BB40C0,-33.4649256491281,-70.7534051900236,2
510I,PJ253,5.083333333333333,0101000020E610000024AFB2C316B051C0A39DB73F94BA40C0,-33.4576491972505,-70.751389431473,2
510I,PJ254,6.0,0101000020E6100000EEBFAD770FB051C0EAEEF8E460BA40C0,-33.4560819831366,-70.7509440609717,2
510I,PJ549,5.583333333333333,0101000020E6100000528560C1D9AF51C0A2CD254273BA40C0,-33.456642406901,-70.747665733584,2
510I,PJ550,5.708333333333333,0101000020E61000006B9F9128B4AF51C0A40442AB80BA40C0,-33.4570516655306,-70.7453710004899,2
510I,PJ551,5.041666666666667,0101000020E610000009783F957AAF51C0B7C55EB694BA40C0,-33.457663341785,-70.7418568725408,2
510I,PJ552,6.125,0101000020E61000002534297B4BAF51C0DA17BB7CA6BA40C0,-33.4582057870427,-70.7389820005779,1
510I,PJ96,5.75,0101000020E6100000206EF1D1E2AD51C030A69BA77EBA40C0,-33.4569901952749,-70.7169689996449,2
