servicio,paradero,promedio_bus_hora,geo_parader,geo_parader_lat,geo_parader_lon,calificacion
D18I,PC1149,5.583333333333333,0101000020E6100000C6B0CC6C93A651C06198AE17F4B840C0,-33.4449491121784,-70.6027481078082,2
D18I,PC1150,5.666666666666667,0101000020E610000068CCA93EC7A651C00BCD3E8300B940C0,-33.4453281456609,-70.6059109361828,2
D18I,PC1152,3.9583333333333335,0101000020E61000000A7B3D40F7A651C0CDA1F4660CB940C0,-33.4456909842007,-70.6088409996411,0
D18I,PC1153,5.5,0101000020E6100000503965BC1BA751C0CB0C3EC620B940C0,-33.4463126948336,-70.6110678661837,2
D18I,PC1154,5.875,0101000020E6100000C992D91D52A751C009E756D22FB940C0,-33.4467719005898,-70.6143869995823,2
D18I,PC502,4.75,0101000020E6100000E2A1719D44A851C0216813819FB840C0,-33.4423676819572,-70.6291879281703,0
D18I,PC987,4.708333333333333,0101000020E6100000C555DDD1FFA551C08466F6E8A7B840C0,-33.4426242068412,-70.5937390004611,0
D18I,PC988,4.958333333333333,0101000020E6100000F9EF2E302BA651C074CF1448AFB840C0,-33.4428491689313,-70.5963859995244,0
D18I,PC989,4.458333333333333,0101000020E61000005F22CD6358A651C08FFF29D0B8B840C0,-33.4431400494642,-70.5991448882355,0
D18I,PC995,5.458333333333333,0101000020E6100000AF8B5C397BA751C0A5C7F94408B940C0,-33.4455648631695,-70.6168960002676,2
D18I,PC996,5.583333333333333,0101000020E610000093398FC6A1A751C07D0E79D2F1B840C0,-33.4448798266503,-70.6192490004235,2
D18I,PC997,5.833333333333333,0101000020E61000007D7F72BED8A751C034CFE53F09B940C0,-33.4455947754017,-70.6226039999146,2
D18I,PC998,5.833333333333333,0101000020E6100000EE6AA2D8FFA751C0634E8BCC19B940C0,-33.4460998230177,-70.6249906145201,2
D18I,PC999,5.333333333333333,0101000020E6100000343998C118A851C0EF4B520EE4B840C0,-33.4444597150649,-70.6265110003049,2
D18I,PD1002,7.875,0101000020E610000007D2A31D37A251C0C08002399BB840C0,-33.4422370207044,-70.5346140003022,1
D18I,PD1079,7.458333333333333,0101000020E61000007D709BE09BA251C020BB65D9ACBA40C0,-33.4583999392255,-70.5407639997447,1
D18I,PD1187,6.75,0101000020E61000000F1DCC2555A251C02C9EC60EB8BA40C0,-33.4587419957937,-70.5364469998642,1
D18I,PD1199,6.666666666666667,0101000020E6100000FA27E8E737A451C0AADF9B581BB840C0,-33.4383345376112,-70.5659122244978,1
D18I,PD1200,3.6666666666666665,0101000020E61000004DD5315871A451C03FFBDC8313B840C0,-33.4380955533038,-70.569417999902,0
D18I,PD1201,3.5,0101000020E61000003734A0A696A451C051DE3EC30EB840C0,-33.4379505211806,-70.5716950001232,0
D18I,PD1254,7.333333333333333,0101000020E61000003300E6876AA251C0EB58367573B840C0,-33.4410234942787,-70.5377521272756,1
D18I,PD1255,6.75,0101000020E610000072FC39369DA251C0CB08A89667B840C0,-33.4406612701874,-70.5408454481383,1
D18I,PD1256,8.291666666666666,0101000020E61000009CB39065C1A251C0E9A67B625FB840C0,-33.4404109100122,-70.5430540001966,1
D18I,PD1257,6.583333333333333,0101000020E61000008D9FF67AF7A251C0B3461CBC52B840C0,-33.4400248659198,-70.5463550003462,1
D18I,PD1258,6.791666666666667,0101000020E6100000F47304172BA351C06B22ED2E46B840C0,-33.4396418245204,-70.5495049994932,1
D18I,PD1259,6.625,0101000020E61000007DCEA667C4A351C03DE37BE428B840C0,-33.4387479405327,-70.5588626030894,1
D18I,PD1260,7.166666666666667,0101000020E6100000F77F67EDE8A351C0084C531425B840C0,-33.4386315733646,-70.561091757845,1
D18I,PD1261,5.625,0101000020E6100000B5B668A9BCA451C0C3352E3F1AB940C0,-33.4461134887347,-70.5740149996371,2
D18I,PD1262,6.666666666666667,0101000020E6100000685E715BE8A451C0FD37224F20B940C0,-33.4462984959682,-70.5766819579236,1
D18I,PD1263,6.916666666666667,0101000020E6100000EE1F98DC28A551C0E95B84F925B940C0,-33.4464713951382,-70.5806190000146,1
D18I,PD1264,6.833333333333333,0101000020E61000008390F7A866A551C0575FA58E2AB940C0,-33.4466112430079,-70.5843908708212,1
D18I,PD1265,6.25,0101000020E6100000C0492A8D98A551C00E4FA2C013B940C0,-33.4459152977489,-70.5874360001535,1
D18I,PD1266,6.0,0101000020E610000068EE68FCC2A551C0C6F0B483E7B840C0,-33.4445652612208,-70.5900259995193,2
