servicio,paradero,tiempo_promedio,geo_parader,geo_parader_lat,geo_parader_lon,calificacion,zona_h,zona_h_num,seccion
D18I,PC1149,585.2727272727273,0101000020E6100000C6B0CC6C93A651C06198AE17F4B840C0,-33.4449491121784,-70.6027481078082,2,Punta,1,S1
D18I,PC1150,598.9090909090909,0101000020E610000068CCA93EC7A651C00BCD3E8300B940C0,-33.4453281456609,-70.6059109361828,2,Punta,1,S1
D18I,PC1152,682.7777777777778,0101000020E61000000A7B3D40F7A651C0CDA1F4660CB940C0,-33.4456909842007,-70.6088409996411,0,Punta,1,S1
D18I,PC1153,588.8333333333334,0101000020E6100000503965BC1BA751C0CB0C3EC620B940C0,-33.4463126948336,-70.6110678661837,2,Punta,1,S1
D18I,PC1154,380.4375,0101000020E6100000C992D91D52A751C009E756D22FB940C0,-33.4467719005898,-70.6143869995823,2,Punta,1,S1
D18I,PC502,593.9090909090909,0101000020E6100000E2A1719D44A851C0216813819FB840C0,-33.4423676819572,-70.6291879281703,2,Punta,1,S1
D18I,PC987,519.3076923076923,0101000020E6100000C555DDD1FFA551C08466F6E8A7B840C0,-33.4426242068412,-70.5937390004611,2,Punta,1,S1
D18I,PC988,640.6,0101000020E6100000F9EF2E302BA651C074CF1448AFB840C0,-33.4428491689313,-70.5963859995244,0,Punta,1,S1
D18I,PC989,603.2727272727273,0101000020E61000005F22CD6358A651C08FFF29D0B8B840C0,-33.4431400494642,-70.5991448882355,0,Punta,1,S1
D18I,PC995,395.1875,0101000020E6100000AF8B5C397BA751C0A5C7F94408B940C0,-33.4455648631695,-70.6168960002676,2,Punta,1,S1
D18I,PC996,449.7857142857143,0101000020E610000093398FC6A1A751C07D0E79D2F1B840C0,-33.4448798266503,-70.6192490004235,2,Punta,1,S1
D18I,PC997,408.5625,0101000020E61000007D7F72BED8A751C034CFE53F09B940C0,-33.4455947754017,-70.6226039999146,2,Punta,1,S1
D18I,PC998,471.2142857142857,0101000020E6100000EE6AA2D8FFA751C0634E8BCC19B940C0,-33.4460998230177,-70.6249906145201,2,Punta,1,S1
D18I,PC999,488.6923076923077,0101000020E6100000343998C118A851C0EF4B520EE4B840C0,-33.4444597150649,-70.6265110003049,2,Punta,1,S1
D18I,PD1002,409.4117647058824,0101000020E610000007D2A31D37A251C0C08002399BB840C0,-33.4422370207044,-70.5346140003022,2,Punta,1,S1
D18I,PD1079,427.9375,0101000020E61000007D709BE09BA251C020BB65D9ACBA40C0,-33.4583999392255,-70.5407639997447,2,Punta,1,S1
D18I,PD1187,450.35714285714283,0101000020E61000000F1DCC2555A251C02C9EC60EB8BA40C0,-33.4587419957937,-70.5364469998642,2,Punta,1,S1
D18I,PD1199,389.9375,0101000020E6100000FA27E8E737A451C0AADF9B581BB840C0,-33.4383345376112,-70.5659122244978,2,Punta,1,S1
D18I,PD1200,522.4166666666666,0101000020E61000004DD5315871A451C03FFBDC8313B840C0,-33.4380955533038,-70.569417999902,2,Punta,1,S1
D18I,PD1201,522.4166666666666,0101000020E61000003734A0A696A451C051DE3EC30EB840C0,-33.4379505211806,-70.5716950001232,2,Punta,1,S1
D18I,PD1254,373.36842105263156,0101000020E61000003300E6876AA251C0EB58367573B840C0,-33.4410234942787,-70.5377521272756,2,Punta,1,S1
D18I,PD1255,395.77777777777777,0101000020E610000072FC39369DA251C0CB08A89667B840C0,-33.4406612701874,-70.5408454481383,2,Punta,1,S1
D18I,PD1256,305.8636363636364,0101000020E61000009CB39065C1A251C0E9A67B625FB840C0,-33.4404109100122,-70.5430540001966,2,Punta,1,S1
D18I,PD1257,436.625,0101000020E61000008D9FF67AF7A251C0B3461CBC52B840C0,-33.4400248659198,-70.5463550003462,2,Punta,1,S1
