servicio,paradero,tiempo_promedio,geo_parader,geo_parader_lat,geo_parader_lon,calificacion
D18I,PC1149,642.6315789473684,0101000020E6100000C6B0CC6C93A651C06198AE17F4B840C0,-33.4449491121784,-70.6027481078082,0
D18I,PC1150,632.8888888888889,0101000020E610000068CCA93EC7A651C00BCD3E8300B940C0,-33.4453281456609,-70.6059109361828,0
D18I,PC1152,908.936170212766,0101000020E61000000A7B3D40F7A651C0CDA1F4660CB940C0,-33.4456909842007,-70.6088409996411,0
D18I,PC1153,655.9160305343512,0101000020E6100000503965BC1BA751C0CB0C3EC620B940C0,-33.4463126948336,-70.6110678661837,0
D18I,PC1154,610.2857142857143,0101000020E6100000C992D91D52A751C009E756D22FB940C0,-33.4467719005898,-70.6143869995823,0
D18I,PC502,761.0088495575221,0101000020E6100000E2A1719D44A851C0216813819FB840C0,-33.4423676819572,-70.6291879281703,0
D18I,PC987,758.2142857142857,0101000020E6100000C555DDD1FFA551C08466F6E8A7B840C0,-33.4426242068412,-70.5937390004611,0
D18I,PC988,724.3220338983051,0101000020E6100000F9EF2E302BA651C074CF1448AFB840C0,-33.4428491689313,-70.5963859995244,0
D18I,PC989,806.0377358490566,0101000020E61000005F22CD6358A651C08FFF29D0B8B840C0,-33.4431400494642,-70.5991448882355,0
D18I,PC995,659.6769230769231,0101000020E6100000AF8B5C397BA751C0A5C7F94408B940C0,-33.4455648631695,-70.6168960002676,0
D18I,PC996,642.9624060150376,0101000020E610000093398FC6A1A751C07D0E79D2F1B840C0,-33.4448798266503,-70.6192490004235,0
D18I,PC997,617.1798561151079,0101000020E61000007D7F72BED8A751C034CFE53F09B940C0,-33.4455947754017,-70.6226039999146,0
D18I,PC998,616.2805755395683,0101000020E6100000EE6AA2D8FFA751C0634E8BCC19B940C0,-33.4460998230177,-70.6249906145201,0
D18I,PC999,675.7007874015748,0101000020E6100000343998C118A851C0EF4B520EE4B840C0,-33.4444597150649,-70.6265110003049,0
D18I,PD1002,453.47340425531917,0101000020E610000007D2A31D37A251C0C08002399BB840C0,-33.4422370207044,-70.5346140003022,2
D18I,PD1079,478.82022471910113,0101000020E61000007D709BE09BA251C020BB65D9ACBA40C0,-33.4583999392255,-70.5407639997447,2
D18I,PD1187,532.1614906832298,0101000020E61000000F1DCC2555A251C02C9EC60EB8BA40C0,-33.4587419957937,-70.5364469998642,2
D18I,PD1199,540.188679245283,0101000020E6100000FA27E8E737A451C0AADF9B581BB840C0,-33.4383345376112,-70.5659122244978,2
D18I,PD1200,975.735632183908,0101000020E61000004DD5315871A451C03FFBDC8313B840C0,-33.4380955533038,-70.569417999902,0
D18I,PD1201,1010.6987951807229,0101000020E61000003734A0A696A451C051DE3EC30EB840C0,-33.4379505211806,-70.5716950001232,0
D18I,PD1254,488.7885714285714,0101000020E61000003300E6876AA251C0EB58367573B840C0,-33.4410234942787,-70.5377521272756,2
D18I,PD1255,532.2298136645962,0101000020E610000072FC39369DA251C0CB08A89667B840C0,-33.4406612701874,-70.5408454481383,2
D18I,PD1256,432.77272727272725,0101000020E61000009CB39065C1A251C0E9A67B625FB840C0,-33.4404109100122,-70.5430540001966,2
D18I,PD1257,546.2929936305733,0101000020E61000008D9FF67AF7A251C0B3461CBC52B840C0,-33.4400248659198,-70.5463550003462,2
D18I,PD1258,517.8888888888889,0101000020E6100000F47304172BA351C06B22ED2E46B840C0,-33.4396418245204,-70.5495049994932,2
D18I,PD1259,542.6645569620254,0101000020E61000007DCEA667C4A351C03DE37BE428B840C0,-33.4387479405327,-70.5588626030894,2
D18I,PD1260,501.7602339181287,0101000020E6100000F77F67EDE8A351C0084C531425B840C0,-33.4386315733646,-70.561091757845,2
D18I,PD1261,639.9104477611941,0101000020E6100000B5B668A9BCA451C0C3352E3F1AB940C0,-33.4461134887347,-70.5740149996371,0
D18I,PD1262,539.2893081761006,0101000020E6100000685E715BE8A451C0FD37224F20B940C0,-33.4462984959682,-70.5766819579236,2
D18I,PD1263,519.6848484848484,0101000020E6100000EE1F98DC28A551C0E95B84F925B940C0,-33.4464713951382,-70.5806190000146,2
D18I,PD1264,526.2453987730062,0101000020E61000008390F7A866A551C0575FA58E2AB940C0,-33.4466112430079,-70.5843908708212,2
D18I,PD1265,575.6845637583892,0101000020E6100000C0492A8D98A551C00E4FA2C013B940C0,-33.4459152977489,-70.5874360001535,2
D18I,PD1266,603.6923076923077,0101000020E610000068EE68FCC2A551C0C6F0B483E7B840C0,-33.4445652612208,-70.5900259995193,0
D18I,PD1267,1933.44,0101000020E61000001352443D89A651C027C5E73E5FB940C0,-33.4482191688242,-70.6021264235681,0
D18I,PD1268,1659.551724137931,0101000020E61000005FA9A860BBA651C0E4D23D626BB940C0,-33.4485895921587,-70.6051866194807,0
D18I,PD1269,1738.0714285714287,0101000020E6100000983546240AA751C05684687268B940C0,-33.4484999666535,-70.6099940000189,0
D18I,PD1270,1577.6129032258063,0101000020E610000073A6E1AB3BA751C02A7808DE72B940C0,-33.4488179723124,-70.6130170539489,0
D18I,PD1271,745.7142857142857,0101000020E61000001950438B6CA751C02FD4518B81B940C0,-33.4492658757739,-70.6159999997475,0
D18I,PD1272,564.125,0101000020E610000004B6DF4F8DA751C032C2EE8D8AB940C0,-33.4495408454717,-70.6180000004461,2
D18I,PD1273,610.5882352941177,0101000020E6100000C5ECF4D6C0A751C0C71F15D69EB940C0,-33.4501597979684,-70.62114499968,0
D18I,PD1274,2992.7083333333335,0101000020E6100000374900E6F5A751C07B5E22E5AEB940C0,-33.4506498735254,-70.6243834498208,0
D18I,PD1361,463.1837837837838,0101000020E61000003646BE654EA351C01FEF5B7B3EB840C0,-33.4394067953965,-70.5516599996707,2
D18I,PD1394,585.795918367347,0101000020E6100000A9F58D588BA151C00456FDAE66BD40C0,-33.4796961533539,-70.5241299997639,2
D18I,PD1418,559.9869281045752,0101000020E61000002BA2B3717DA251C044F31582B3BA40C0,-33.4586031539134,-70.5389065031274,2
D18I,PD1420,532.69375,0101000020E6100000D55BA522F6A151C0847AC0E3C2BA40C0,-33.4590725602948,-70.5306479086715,2
D18I,PD1429,301.8776223776224,0101000020E61000002DB5C77F81A151C05F57421A90BD40C0,-33.4809601615841,-70.5235290003081,2
D18I,PD185,435.1218274111675,0101000020E6100000FA15739EB1A451C013C715C231B840C0,-33.4390184980713,-70.5733409999738,2
D18I,PD186,442.00515463917526,0101000020E6100000D5D0CF2B9EA451C0065F0E950EB940C0,-33.44575751497,-70.5721540002299,2
D18I,PD226,549.4807692307693,0101000020E6100000ADB0EC14ABA451C0F7404D3179B840C0,-33.4411985041824,-70.5729420005252,2
D18I,PD227,497.77906976744185,0101000020E610000069202098A3A451C0236BC595D0B840C0,-33.4438655103643,-70.572485000013,2
D18I,PD296,529.525,0101000020E61000006F0C725298A251C08947241859BA40C0,-33.45584394237,-70.5405470002895,2
