servicio,paradero,tiempo_promedio,geo_parader,geo_parader_lat,geo_parader_lon,calificacion
211I,PE158,542.2830188679245,0101000020E6100000B89F92EFEBA551C0403E3EE9E0C140C0,-33.5146762422487,-70.5925253803133,2
211I,PE159,508.39285714285717,0101000020E6100000FD899E2C07A651C0FD081B521EC240C0,-33.5165503150947,-70.5941878841622,2
211I,PE160,453.4578947368421,0101000020E61000007DF414C440A651C0B0D38A80BDC240C0,-33.521408145701,-70.5977029995574,2
211I,PE161,488.33522727272725,0101000020E6100000A0D5E0F082A651C01BF89B3C31C340C0,-33.5249400865143,-70.6017420001649,2
211I,PE162,518.2469879518072,0101000020E61000006BECE711A3A651C0AE0F9C0890C340C0,-33.527833057596,-70.6037029995802,2
211I,PE163,487.65340909090907,0101000020E6100000DB3F793BC2A651C0F6528C95EFC340C0,-33.5307490286995,-70.605604999931,2
211I,PE164,519.8,0101000020E610000085CEB532E1A651C0DC6048054EC440C0,-33.533631000844,-70.6074950004059,2
211I,PE165,426.33663366336634,0101000020E61000007F5843F90DA751C077F26BFBBDC440C0,-33.5370477940641,-70.610227885978,2
211I,PE166,441.1794871794872,0101000020E61000001D34B24D26A751C0E095E93E16C540C0,-33.5397413864664,-70.6117128601331,2
211I,PE167,469.6174863387978,0101000020E6100000612A710168A751C007DE6E783AC540C0,-33.5408468762726,-70.6157230000622,2
211I,PE168,592.2758620689655,0101000020E6100000A684FF3BA2A751C019EFC5BC4BC540C0,-33.541373821876,-70.6192769999785,2
211I,PE169,593.9084507042254,0101000020E61000005F98DA32E0A751C0D5AD88DF5CC540C0,-33.5418967645052,-70.6230589995116,2
211I,PE170,546.4331210191083,0101000020E6100000AD86B7E7F9A751C01F1A28B063C540C0,-33.5421047397433,-70.62462799952,2
211I,PE171,495.4913294797688,0101000020E610000068C1DCB243A851C0F56A058776C540C0,-33.5426796699957,-70.6291319995704,2
211I,PE172,411.58653846153845,0101000020E6100000D38F4EC685A851C0FBDE07A367C540C0,-33.5422252453263,-70.6331649558263,2
211I,PG10,327.2988505747126,0101000020E61000007588AD4ECEAA51C09B483BE2E7C540C0,-33.5461390294524,-70.6688420004519,2
211I,PG11,361.3151260504202,0101000020E61000006DEE89C1F1AA51C0C88FE81B41C640C0,-33.5488619695239,-70.6710056159006,2
211I,PG12,336.609375,0101000020E6100000D596F7730AAB51C0723F5B3880C640C0,-33.5507879682108,-70.6725130002845,2
211I,PG13,314.02941176470586,0101000020E6100000CECEB39432AB51C00E2ADFEEE5C640C0,-33.5538920011205,-70.6749622112213,2
211I,PG14,421.2156862745098,0101000020E6100000922CB8E34DAB51C048A693372CC740C0,-33.5560368987031,-70.6766289995742,2
211I,PG15,400.8644859813084,0101000020E610000097D5FF3E6AAB51C0D4B9E09474C740C0,-33.5582452866835,-70.6783597467787,2
211I,PG16,540.0503144654089,0101000020E6100000A885F0B679AB51C0709F692B9CC740C0,-33.5594534173714,-70.6793038700913,2
211I,PG1605,390.1818181818182,0101000020E6100000DA0F5DF756AD51C07CCFC733EDD140C0,-33.6400513387334,-70.7084329994972,2
211I,PG1636,301.6468531468532,0101000020E6100000D59D2AAEACAC51C0B82762A3D2CE40C0,-33.6158031682275,-70.6980395713975,2
211I,PG17,476.5833333333333,0101000020E61000006F75145795AB51C0F8239B67E2C740C0,-33.561596823456,-70.6809899997513,2
211I,PG1702,334.48062015503876,0101000020E6100000777A793C62AD51C0C190E12D27D240C0,-33.641820655002,-70.7091208635628,2
211I,PG1745,307.8014440433213,0101000020E610000045F0AE7B2BAD51C03A44096A0ED140C0,-33.6332523865935,-70.7057790001282,2
211I,PG1763,309.25539568345323,0101000020E6100000E0DEF66304AD51C009F19FD87BD040C0,-33.6287794857945,-70.7033929739805,2
211I,PG18,347.47773279352225,0101000020E6100000625F6531B1AB51C055D8270928C840C0,-33.5637217945629,-70.6826899995772,2
211I,PG1895,408.71090047393363,0101000020E6100000CA435A62D0AC51C02A99CCA1B7CE40C0,-33.614979004766,-70.7002187615864,2
211I,PG19,387.72850678733033,0101000020E6100000582C60E5D0AB51C0B8168C7F75C840C0,-33.5660857614543,-70.6846249999229,2
211I,PG197,412.70531400966183,0101000020E6100000804CBF27D6A851C08917A1C955C540C0,-33.5416805302221,-70.638070999923,2
211I,PG198,398.86511627906975,0101000020E6100000DF671C6323A951C03F80F51C40C540C0,-33.5410190771804,-70.642784860363,2
211I,PG199,434.550505050505,0101000020E6100000C9E887D860A951C02C461DA02EC540C0,-33.5404853957119,-70.6465359999885,2
211I,PG20,373.89565217391305,0101000020E6100000ABD4560BECAB51C04FD72097B7C840C0,-33.5681027326924,-70.6862820003468,2
211I,PG200,443.5103092783505,0101000020E6100000E1A49936A7A951C040169BC919C540C0,-33.5398494727383,-70.6508308887892,2
211I,PG201,440.1333333333333,0101000020E61000007747DEAAEBA951C08A6A154100C540C0,-33.5390702585765,-70.6550089998908,2
211I,PG202,406.7582938388626,0101000020E610000032362F4B3BAA51C016836E98E4C440C0,-33.5382261790857,-70.6598689995815,2
211I,PG203,331.3837209302326,0101000020E61000004298FDFF70AA51C0C072E5E2C8C440C0,-33.5373805637696,-70.6631469704162,2
211I,PG204,310.13454545454545,0101000020E6100000DBBFFD538FAA51C0C8E5201B16C540C0,-33.5397371206887,-70.6649980524084,2
211I,PG205,339.3320158102767,0101000020E610000084B64F19FFAC51C0A08C6CC81FCD40C0,-33.602532437327,-70.7030699995467,2
211I,PG206,377.15555555555557,0101000020E61000008EA468B311AD51C0256E94F68ACD40C0,-33.6058033203847,-70.7042053720381,2
211I,PG21,357.7375,0101000020E610000096F29ACB0DAC51C0B5A10A0313C940C0,-33.570892696563,-70.688342000309,2
211I,PG22,344.9277108433735,0101000020E6100000793664FA2EAC51C0BD0466326EC940C0,-33.5736754415643,-70.6903673151627,2
211I,PG23,321.6741573033708,0101000020E610000027DDC9AE49AC51C0525AA756B7C940C0,-33.5759075467255,-70.6919972392394,2
211I,PG24,331.6100386100386,0101000020E6100000339E984869AC51C00910BD130ECA40C0,-33.5785545991094,-70.6939259996805,2
211I,PG25,314.6420664206642,0101000020E6100000079941B797AC51C00086F8588BCA40C0,-33.5823775495046,-70.6967600002864,2
211I,PG26,347.9959183673469,0101000020E610000090856D52D1AC51C0450022D7F7CA40C0,-33.5856884876271,-70.7002759999798,2
211I,PG27,721.7394957983194,0101000020E610000026B684230CAD51C05948B9DBE6CA40C0,-33.5851702360821,-70.7038658901225,0
211I,PG28,897.4631578947368,0101000020E6100000C1DBFC3218AD51C04BE2503712CB40C0,-33.5864934105817,-70.7046020001717,0
211I,PG29,366.6233766233766,0101000020E6100000AECEE60928AD51C0E0E0300667CB40C0,-33.5890815485634,-70.7055687669733,2
211I,PG30,390.8165137614679,0101000020E610000094E2A7FE41AD51C081D925FCF5CB40C0,-33.5934443650067,-70.7071529998305,2
211I,PG31,333.92578125,0101000020E610000023DCBE4A3EAD51C003E35B9F4ECC40C0,-33.5961493681589,-70.7069270004145,2
211I,PG32,407.0952380952381,0101000020E6100000A6BD9887F7AC51C0C8D3E88863CC40C0,-33.5967875611164,-70.7026080123529,2
211I,PG33,223.5194805194805,0101000020E610000032E2A626EFAC51C0052AE225C0CC40C0,-33.5996138910596,-70.7020966176722,2
211I,PG697,289.3288590604027,0101000020E610000076DDED06BEAC51C001D5472226CF40C0,-33.618351254534,-70.6990983317281,2
211I,PG698,301.1223776223776,0101000020E6100000019902B2D7AC51C071424911A6CF40C0,-33.6222554786408,-70.7006649995201,2
211I,PG699,298.0520833333333,0101000020E61000002E44A024E8AC51C066D33B15F3CF40C0,-33.624605802738,-70.7016688885785,2
211I,PG700,467.57065217391306,0101000020E61000001EE59194F4AC51C05FF4633730D040C0,-33.6264714468059,-70.70242799995,2
211I,PG702,314.02197802197804,0101000020E61000001889B60C38AD51C05BDCAA0E40D140C0,-33.6347673734933,-70.7065459997724,2
211I,PG703,361.8691983122363,0101000020E6100000E21B782B4BAD51C07873F74897D140C0,-33.6374293525941,-70.7077130005778,2
211I,PG748,417.04347826086956,0101000020E6100000F287CB1311AD51C02191C62687CE40C0,-33.6134994954648,-70.7041673171623,2
211I,PG749,415.5339805825243,0101000020E6100000D2910586F0AC51C0C99FA443A0CE40C0,-33.6142658761815,-70.7021803907767,2
211I,PG9,353.03688524590166,0101000020E61000009508FC8BA0AA51C0C38E464375C540C0,-33.542641076519,-70.666048999907,2
211I,PG903,286.67,0101000020E61000003B246E6B0BAD51C047AB106AD7CD40C0,-33.6081364232437,-70.703822000084,2
211I,PG904,385.78280542986425,0101000020E61000006E76AFC91AAD51C09F00F6B413CE40C0,-33.6099764062103,-70.7047599996092,2
211I,PG905,329.118320610687,0101000020E6100000DA51C64C2FAD51C07A7DC94466CE40C0,-33.6124959930266,-70.7060119568554,2
