,servicio,paradero,promedio_bus_hora,geo_parader,geo_parader_lat,geo_parader_lon,calificacion
40,510I,PD589,6.166666666666667,0101000020E6100000C564CEDC41A751C015664E3B1EBB40C0,-33.4618600971991,-70.6133949294627,1
41,510I,PD590,6.791666666666667,0101000020E6100000CB1C958E35A651C033DDF4557BBB40C0,-33.4647014089227,-70.5970188575913,1
42,510I,PD592,6.125,0101000020E610000001059EB7B1A551C06AA8F07A95BB40C0,-33.465499274739,-70.5889720004234,1
43,510I,PD643,6.0,0101000020E61000006D54ACFAE6A751C0B886D0B8B9BA40C0,-33.458792783565,-70.6234728510769,2
44,510I,PD644,5.875,0101000020E6100000F90CCC9996A751C0182B4CB311BB40C0,-33.4614776727596,-70.6185669415171,2
45,510I,PD645,6.25,0101000020E610000028BC7D5A45A551C0814710A2CABB40C0,-33.4671213702668,-70.5823580005532,1
46,510I,PI1042,6.208333333333333,0101000020E610000030F833A31FAD51C093AEAEAB8BBA40C0,-33.4573874094905,-70.7050560004725,1
47,510I,PI1272,5.583333333333333,0101000020E6100000062AC9E2FEA351C00F605B8E43BC40C0,-33.4708116480034,-70.5624319996351,2
48,510I,PI212,8.208333333333334,0101000020E610000066B57C98BDB051C0571209EE1BBC40C0,-33.4696023506446,-70.7615720002992,1
49,510I,PI241,4.666666666666667,0101000020E610000007B731EBC5B051C0C34E2916B6BB40C0,-33.4664943410585,-70.762080000448,0
50,510I,PI242,5.666666666666667,0101000020E6100000FD640B28D4B051C09E86BA2F5DBB40C0,-33.4637813244601,-70.7629490004801,2
51,510I,PI243,4.625,0101000020E61000003270996379B051C0C15DD9D684BB40C0,-33.4649914323195,-70.7574090002461,0
52,510I,PI244,3.7083333333333335,0101000020E6100000A339DF1456B051C010086C0392BB40C0,-33.4653934743402,-70.7552539997037,0
53,510I,PI339,6.166666666666667,0101000020E6100000B8A81F868AAC51C03D02E98445BA40C0,-33.45524655702,-70.6959548291369,1
54,510I,PI342,6.125,0101000020E61000006B59689E95AB51C077688457D4B940C0,-33.451792659428,-70.6810070055996,1
55,510I,PI401,6.833333333333333,0101000020E6100000357AB05241AC51C09EBAF84F23BA40C0,-33.4542026485917,-70.6914869998371,1
56,510I,PI439,6.625,0101000020E6100000A3916D4C06AC51C0A5ADE50209BA40C0,-33.453400003574,-70.6878844327935,1
57,510I,PI457,6.375,0101000020E61000009110E4BED5AC51C0507D43D768BA40C0,-33.4563244895495,-70.7005460002131,1
58,510I,PI739,5.041666666666667,0101000020E6100000CA2A015130B051C044FD2A124DBB40C0,-33.4632895193013,-70.7529490004919,2
59,510I,PI740,4.333333333333333,0101000020E61000000BC4120F28B051C0521198FD11BB40C0,-33.4614865295904,-70.7524450000057,0
60,510I,PI748,5.75,0101000020E610000087366E0A43AF51C0D7602ED24DBA40C0,-33.455499909063,-70.7384668422984,2
61,510I,PI749,6.916666666666667,0101000020E61000003963AA7D3AAF51C04FB7E431F8B940C0,-33.4528868071344,-70.7379450000707,1
62,510I,PI750,5.125,0101000020E610000027D8C85C19AF51C09216FEE804BA40C0,-33.4532748451867,-70.7359230004664,2
63,510I,PI751,5.625,0101000020E6100000890837A2ECAE51C0155FA5F815BA40C0,-33.4537955100515,-70.7331929719386,2
64,510I,PI752,6.125,0101000020E6100000BD5B0F96B1AE51C0C3D9D9222EBA40C0,-33.4545329631542,-70.7295889997467,1
65,510I,PI753,4.583333333333333,0101000020E6100000578FBA9F19AE51C03F02E8C767BA40C0,-33.456292141233,-70.7203139612078,0
66,510I,PI754,5.0,0101000020E61000003CA6F564FEAD51C06C7FC63B74BA40C0,-33.4566721648433,-70.7186520003242,2
67,510I,PJ1683,5.625,0101000020E6100000D011B4CC22B051C074C97520EDBA40C0,-33.4603615355617,-70.7521240004055,2
68,510I,PJ1684,5.708333333333333,0101000020E61000006FF266CA37B051C0D30905AF82BB40C0,-33.4649256491281,-70.7534051900236,2
69,510I,PJ253,5.083333333333333,0101000020E610000024AFB2C316B051C0A39DB73F94BA40C0,-33.4576491972505,-70.751389431473,2
70,510I,PJ254,6.0,0101000020E6100000EEBFAD770FB051C0EAEEF8E460BA40C0,-33.4560819831366,-70.7509440609717,2
71,510I,PJ549,5.583333333333333,0101000020E6100000528560C1D9AF51C0A2CD254273BA40C0,-33.456642406901,-70.747665733584,2
72,510I,PJ550,5.708333333333333,0101000020E61000006B9F9128B4AF51C0A40442AB80BA40C0,-33.4570516655306,-70.7453710004899,2
73,510I,PJ551,5.041666666666667,0101000020E610000009783F957AAF51C0B7C55EB694BA40C0,-33.457663341785,-70.7418568725408,2
74,510I,PJ552,6.125,0101000020E61000002534297B4BAF51C0DA17BB7CA6BA40C0,-33.4582057870427,-70.7389820005779,1
75,510I,PJ96,5.75,0101000020E6100000206EF1D1E2AD51C030A69BA77EBA40C0,-33.4569901952749,-70.7169689996449,2
76,D03I,PA478,5.791666666666667,0101000020E610000079076EB2A5A951C075EE27D951BA40C0,-33.4556228108385,-70.650738341761,2
77,D03I,PA479,6.083333333333333,0101000020E610000002F407486DA951C01EE3589D41BA40C0,-33.4551273998279,-70.6472950055759,1
78,D03I,PA480,6.625,0101000020E6100000DB2280643AA951C02D381BEC2DBA40C0,-33.454526437083,-70.6441890002565,1
79,D03I,PA481,7.416666666666667,0101000020E61000006276C95702A951C043DD4B6919BA40C0,-33.4539004917556,-70.6407680003554,1
80,D03I,PA482,7.333333333333333,0101000020E6100000B3EE09BFD4A851C032A946BB0CBA40C0,-33.4535135359787,-70.6379850003239,1
81,D03I,PA483,6.458333333333333,0101000020E61000000A2C56ED9AA851C01F662B7CF4B940C0,-33.4527735912236,-70.6344559995197,1
82,D03I,PA487,0.9583333333333334,0101000020E6100000C666FC4E51A851C09BF0972C86B940C0,-33.44940717143,-70.6299626793726,0
83,D03I,PA494,6.25,0101000020E6100000812FC9AA08AA51C0D954A88209BA40C0,-33.4534152337962,-70.6567789997771,1
84,D03I,PA54,5.25,0101000020E6100000624095D4E5A951C0D3BFCB47FBB940C0,-33.4529809708471,-70.6546527345213,2
85,D03I,PA55,6.25,0101000020E6100000F03EE4BBC4A951C05892F87521BA40C0,-33.4541461433152,-70.6526326874698,1
86,D03I,PA615,8.416666666666666,0101000020E61000007D361C0587A851C09F79F4C0D5B940C0,-33.4518357461668,-70.6332409644619,1
87,D03I,PC1044,1.0,0101000020E610000014F8249365A851C0ECA311CA40B940C0,-33.4472897134909,-70.6311996327425,0
88,D03I,PD111,0.8333333333333334,0101000020E61000003DE186D44AA751C05C40C28234BA40C0,-33.4547275017255,-70.6139422719179,0
89,D03I,PD112,2.625,0101000020E6100000F0F5955502A751C02068564345BA40C0,-33.4552387401493,-70.6095174755535,0
90,D03I,PD1360,8.541666666666666,0101000020E6100000ED7ED8476DA451C028187EE90BBA40C0,-33.4534885278411,-70.5691699613778,1
91,D03I,PD1439,13.416666666666666,0101000020E61000006FDE1BF084A151C06861D01196BD40C0,-33.4811422603114,-70.5237388870389,1
92,D03I,PD1451,4.791666666666667,0101000020E61000007DB026CA2AA351C083B45B7F2CBC40C0,-33.4701079557208,-70.5494866731478,0
93,D03I,PD219,0.8333333333333334,0101000020E61000003352B96A9EA451C03644CBD9CABA40C0,-33.4593155138504,-70.5721689996506,0
94,D03I,PD220,0.7916666666666666,0101000020E6100000329F6B088EA451C07ECB3E4356BA40C0,-33.4557575279823,-70.5711689997668,0
95,D03I,PD287,4.333333333333333,0101000020E6100000DB57D4B837A451C058973B460DBB40C0,-33.4613426009152,-70.5659010003723,0
96,D03I,PD288,0.75,0101000020E61000009577887D02A451C0BB56057C31BB40C0,-33.4624476457661,-70.5626519997298,0
97,D03I,PD289,0.75,0101000020E610000050D8C5A0D7A351C0AA14F83637BB40C0,-33.4626225196201,-70.5600358898239,0
98,D03I,PD290,0.625,0101000020E61000000F7A71AAB5A351C01CC9D32B38BB40C0,-33.4626517089948,-70.5579630001232,0
99,D03I,PD291,0.5833333333333334,0101000020E6100000BB353D0E9FA351C021F2BDD438BB40C0,-33.4626718451948,-70.55658298471,0
100,D03I,PD292,0.4166666666666667,0101000020E6100000551E3C3080A351C0EE36C0E438BB40C0,-33.4626737535999,-70.5546990000815,0
101,D03I,PD293,0.75,0101000020E610000047B903CE52A351C0126947023ABB40C0,-33.4627077912029,-70.5519290005078,0
102,D03I,PD328,7.291666666666667,0101000020E6100000CBBC9ACE4EA851C0F01E84B5E5B940C0,-33.4523226637956,-70.6298100005253,1
103,D03I,PD329,8.25,0101000020E610000059963F1C24A851C0290560F8E9B940C0,-33.4524527043198,-70.6272040005655,1
104,D03I,PD330,7.75,0101000020E61000003151EF74E7A751C0F1C6CC6E03BA40C0,-33.453229761113,-70.6235020005304,1
105,D03I,PD331,7.75,0101000020E61000000CDA922DBCA751C089619FC30FBA40C0,-33.4536060837009,-70.6208604749774,1
106,D03I,PD332,8.041666666666666,0101000020E6100000ED2FD4BF7BA751C09AA0FDBEFEB940C0,-33.4530867327132,-70.6169280597821,1
107,D03I,PD333,8.0,0101000020E6100000EEDDE4744AA751C0EB1A24DE02BA40C0,-33.4532125164313,-70.6139194712666,1
108,D03I,PD334,8.333333333333334,0101000020E610000012D586A6ECA651C04DA5C93219BA40C0,-33.4538939938162,-70.6081939999315,1
109,D03I,PD335,8.666666666666666,0101000020E610000055AFB98AC5A651C07F94F59E21BA40C0,-33.454151029503,-70.6058070004777,1
110,D03I,PD336,8.041666666666666,0101000020E6100000389E091F77A651C059C6C06831BA40C0,-33.454632848862,-70.6010205835272,1
111,D03I,PD337,9.208333333333334,0101000020E6100000E4A2F40C51A651C03DB714BE3ABA40C0,-33.4549176789428,-70.5986969365145,1
112,D03I,PD338,9.541666666666666,0101000020E6100000F3A6EFCE09A651C032D4696D49BA40C0,-33.4553658262961,-70.594348653827,1
113,D03I,PD339,9.041666666666666,0101000020E61000004B20D29FC2A551C087860D374FBA40C0,-33.4555424514811,-70.5900039245618,1
114,D03I,PD340,8.458333333333334,0101000020E61000009C73E90C8CA551C0FA23641C51BA40C0,-33.4556003083198,-70.5866730003167,1
115,D03I,PD341,8.666666666666666,0101000020E6100000973BF1BC54A551C036EAA5AE3BBA40C0,-33.4549463567859,-70.5832970004834,1
116,D03I,PD342,9.125,0101000020E6100000E5D6DBDB2DA551C021F19C6433BA40C0,-33.4546933904951,-70.5809240004415,1
117,D03I,PD347,0.7083333333333334,0101000020E6100000FBC5BE64F3A751C07C3E4E1029BA40C0,-33.454378164487,-70.6242305624982,0
118,D03I,PD348,0.875,0101000020E61000008D74E405BBA751C0ACDD154822BA40C0,-33.4541711909072,-70.6207899790772,0
119,D03I,PD349,2.7916666666666665,0101000020E61000004C71476F8FA751C06377A9E52BBA40C0,-33.4544646337006,-70.6181295583421,0
